id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,target.started,target.stopped,audCueEnd.started,responsePointer.started,responseStarted,rtUntillMotionTreshold,cueForRep.started,space2pass.started,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,audCueStart.stopped,audCueEnd.stopped,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,500,0.5,none,60,red,green,no_Expectation,,,,,,0,8,8,8,train_doubleStim,,,,,,red,0.20674063632096515,0.20833333333333334,2.300344799994491,0.9969043000019155,1e-05,1e-05,0.20838490000460297,0.2417103999760002,2.000348399975337,2.300344799994491,2.300344799994491,0.0,2.300344799994491,2.5001948999706656,3.4337023999542,1.1333575999597088,1.1333575999597088,0.61635,0.13805809072195036,-0.05283704706642543,,,,None,,0.03371,2.034131399996113,0.5,0.5,0.7400706363209651,0.7416666666666667,training_double_stim.csv,0.741690099996049,0.7750095999799669,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
1,500,0.5,none,25,green,red,no_Expectation,,,,,,0,9,9,6,train_doubleStim,,,,,,green,0.7073111360632659,0.7083333333333334,2.300056800013408,0.9975309000001289,1e-05,1e-05,0.7080607000389136,0.7414699000073597,1.9998975000344217,2.300056800013408,3.616700000013225,1.3166431999998167,2.300056800013408,2.5003111000405625,5.183347100042738,2.88329030002933,1.5666471000295132,1.21217,-0.09139694877026074,-0.11618256199609414,,,,None,,0.03332,2.0334039000445046,0.5,0.5,1.2406411360632659,1.2416666666666667,training_double_stim.csv,1.2415435000439174,1.2747649000375532,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,,,,,,,,,0,0,0,0,0,-1,-1,0,fam,0.5320466999546625,0.5320466999546625,270.0,2.532101899967529,2.532101899967529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,,,,,,,,,1,0,1,0,0,-1,-1,0,fam,0.4988500999752432,0.4988500999752432,270.0,2.499032600026112,2.499032600026112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,,,,,,,,,2,0,2,0,0,-1,-1,0,fam,0.49762530002044514,0.49762530002044514,270.0,2.49820950004505,2.49820950004505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,,,,,,,,,3,0,3,0,0,-1,-1,0,fam,0.4983265000046231,0.4983265000046231,270.0,2.4986173000070266,2.4986173000070266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,-100,0.8,met,,red,green,,1042.7860712389872,,,,,0,0,0,414,trial,,,,,,red,1.0427860712389871,1.0416666666666667,2.299822899978608,0.9989256999688223,1e-05,1e-05,1.041474300029222,1.0749162000138313,1.9996136000263505,2.299822899978608,3.0998836000217125,0.8000607000431046,2.299822899978608,2.4997130000265315,4.7665865999879315,2.4667637000093237,1.666702999966219,0.90877,0.041791616766026794,-0.14179298545616237,,,,None,,,,-0.1,-0.1,0.9094560712389872,0.9083333333333333,trial_list_0.8_red.csv,0.9083778000203893,0.9415474000270478,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,167,0.8,met,,red,green,,733.1385648236154,,,,,0,1,1,336,trial,,,,,,red,0.7331385648236154,0.7333333333333333,2.3001513000344858,0.9980565999867395,3e-05,3e-05,0.7333264999906532,0.7672015000134706,2.000213999999687,2.3001513000344858,2.883270399994217,0.5831190999597311,2.3001513000344858,2.4999342000228353,4.32540999999037,2.0252586999558844,1.4421395999961533,0.90317,0.04427877404776543,-0.14103609511510468,,,,None,,0.03324,2.033779199991841,0.167,0.16666666666666666,0.9334685648236154,0.9333333333333333,trial_list_0.8_red.csv,0.9332718999939971,0.9674468000303023,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,300,0.1999999999999999,unmet,,green,red,,678.9592354015655,,,,,0,2,2,319,trial,,,,,,green,0.6789592354015654,0.675,2.3000261000124738,0.997634899977129,3e-05,3e-05,0.6747975000180304,0.7080448999768123,1.9998265000176616,2.3000261000124738,2.4749004000332206,0.1748743000207469,2.3000261000124738,2.4997952000121586,3.5834069999982603,1.2833808999857865,1.1085065999650396,0.99399,0.0027886264911127696,-0.14779720402897678,,,,None,,,,0.3,0.3,1.0122892354015656,1.0083333333333333,trial_list_0.8_red.csv,1.008245299977716,1.0416014000074938,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,33,0.8,met,,red,green,,1723.220880181316,,,,,0,3,3,33,trial,,,,,,red,1.723220880181316,1.7166666666666666,2.3005277999909595,0.9970069999690168,1e-05,1e-05,1.7170059999916703,1.7503027999773622,2.000507299962919,2.3005277999909595,2.6086848999839276,0.30815709999296814,2.3005277999909595,2.5002437999937683,4.11702929995954,1.816501499968581,1.5083443999756128,1.50335,-0.14781532049749832,0.0015559507420789295,,,,None,,0.03332,2.0335663000005297,0.033,0.03333333333333333,1.789550880181316,1.7833333333333332,trial_list_0.8_red.csv,1.783913199964445,1.8168880000011995,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
