id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,cueForRep.started,responseStarted,rtUntillMotionTreshold,space2pass.started,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,500,0.5,none,25,green,red,no_Expectation,,,,,,0,8,8,6,train_doubleStim,,,,,,green,1.0900675249566685,1.0916666666666666,2.2999400999979116,0.9981932000082452,1e-05,1e-05,0.03364,1.0915171999949962,1.1255043999990448,2.0003264999832027,2.0335863000073005,2.2999400999979116,2.2999400999979116,2.4663874999969266,0.16644739999901503,2.499739499995485,3.3750658000062685,1.075125700008357,0.9086783000093419,1.37405,-0.13640133240321212,-0.0569777717633671,,,,None,,0.5,0.5,1.6233975249566683,1.625,training_double_stim.csv,1.6248330000089481,1.6583240999898408,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
1,500,0.5,none,88,red,green,no_Expectation,,,,,,0,9,9,9,train_doubleStim,,,,,,red,1.3467784418535798,1.35,2.300134799996158,0.998094000009587,2e-05,2e-05,0.03328,1.349920699984068,1.3833256999787409,2.0001837000017986,2.0336704999790527,2.300134799996158,2.300134799996158,2.5997175999800675,0.29958279998390935,2.4996666999941226,4.133315399987623,1.833180599991465,1.5335978000075556,1.57623,-0.1436041651496737,0.03506613335050172,,,,None,,0.5,0.5,1.8801084418535798,1.8833333333333333,training_double_stim.csv,1.8837464999814983,1.9167740999837406,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,,,,,,,,,0,0,0,0,0,-1,-1,0,fam,0.5318874000222422,0.5318874000222422,270.0,2.5324373000185005,2.5324373000185005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,,,,,,,,,1,0,1,0,0,-1,-1,0,fam,0.4984820999961812,0.4984820999961812,270.0,2.4985773999942467,2.4985773999942467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,,,,,,,,,2,0,2,0,0,-1,-1,0,fam,0.49829099999624304,0.49829099999624304,270.0,2.4984089999925345,2.4984089999925345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,,,,,,,,,3,0,3,0,0,-1,-1,0,fam,0.4984880000120029,0.4984880000120029,270.0,2.498296300007496,2.498296300007496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,33,0.8,met,,green,red,,955.9019692184778,,,,,0,0,0,292,trial,,,,,,green,0.9559019692184778,0.9583333333333334,2.3001215000113007,0.9910289000254124,1e-05,1e-05,0.03361,0.9581213000055868,0.9914781000115909,2.000325500004692,2.033670800010441,2.3001215000113007,2.3001215000113007,2.3001215000113007,0.0,2.5006179000192787,3.083141600014642,0.7830201000033412,0.7830201000033412,0.5556,0.14557416174768872,-0.025689557955474486,,,,None,,0.033,0.03333333333333333,1.0222319692184778,1.025,trial_list_0.8_green.csv,1.0248923000181094,1.0582502000033855,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,233,0.8,met,,green,red,,424.0645326842314,,,,,0,1,1,315,trial,,,,,,green,0.4240645326842314,0.425,2.3003469000104815,0.9979688000166789,3e-05,3e-05,,0.42523849999997765,0.4586732000170741,1.9998778000008315,,2.3003469000104815,2.3003469000104815,2.633886800002074,0.3335398999915924,2.500109600019641,3.5416146000206936,1.2412677000102121,0.9077278000186197,0.68506,0.12353691690536701,-0.08118140253781261,,,,None,,0.233,0.23333333333333334,0.6903945326842315,0.6916666666666667,trial_list_0.8_green.csv,0.6917419000237714,0.7255072999978438,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,100,0.1999999999999999,unmet,,red,green,,1697.7894332761962,,,,,0,2,2,273,trial,,,,,,red,1.6977894332761962,1.7,2.2997900000191294,0.9985123999940697,1e-05,1e-05,0.03344,1.6996697000286076,1.7332206000282895,1.9998145000135992,2.033392500015907,2.2997900000191294,2.2997900000191294,2.5664885000151116,0.2666984999959823,2.5001440000196453,3.3750828000192996,1.0752928000001702,0.808594300004188,1.41375,-0.14243059885324028,-0.03956405523701119,,,,None,,0.1,0.1,1.8311194332761962,1.8333333333333333,trial_list_0.8_green.csv,1.8332586000033189,1.866453000024194,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,-233,0.1999999999999999,unmet,,red,green,,1416.499674178985,,,,,0,3,3,236,trial,,,,,,red,1.416499674178985,1.4166666666666667,2.3003170000156388,0.9976730000053067,4e-05,4e-05,0.03337,1.4169391999894287,1.4502968000015244,2.0007267000037245,2.0336113999946974,2.3003170000156388,2.3003170000156388,3.000281200016616,0.6999642000009771,2.500310300005367,4.433679300011136,2.133362299995497,1.4333980999945197,1.27383,-0.112051827590455,-0.09641668885690315,,,,None,,-0.233,-0.23333333333333334,1.150169674178985,1.15,trial_list_0.8_green.csv,1.1503143000009004,1.1838173000141978,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
