delay,expectation,congruency,stim_color,distractor_color,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,distractor.started,distractor.stopped,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,responseStarted,rtUntillMotionTreshold,cueForRep.started,space2pass.started,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,space2pass.keys,participant,session,date,expName,psychopyVersion,frameRate,
-233,0.5,none,green,red,1338.7663604824004,,,,,0,14,14,307,trial,,,,,,green,1.3387663604824005,1.3416666666666666,-0.233,-0.23333333333333334,1.0724363604824005,1.075,trial_list_0.5_green.csv,2.3083177999942563,0.9964050999842584,4e-05,4e-05,0.03325,1.0748879999737255,1.108205700002145,1.341184799966868,1.374486499989871,2.0001208999892697,2.0331185999675654,2.3083177999942563,2.483203199983109,0.17488539998885244,2.3083177999942563,2.508450699970126,4.891687399998773,2.5833696000045165,2.408484200015664,0.70407,0.1184706554220077,-0.08841093688209531,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
-167,0.5,none,green,red,1434.6473098489023,,,,,0,15,15,251,trial,,,,,,green,1.4346473098489023,1.4416666666666667,-0.167,-0.16666666666666666,1.2343173098489024,1.2333333333333334,trial_list_0.5_green.csv,2.308069799968507,0.9964678999967873,4e-05,4e-05,0.03327,1.2334589999518357,1.2668150999816135,1.4414722999790683,1.4749202999519184,1.9998182999552228,2.033329900004901,2.308069799968507,2.308069799968507,0.0,2.308069799968507,2.508152499969583,3.39979559998028,1.0917258000117727,1.0917258000117727,1.72032,-0.11380626728767804,0.09433940577794364,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
-233,0.5,none,red,green,984.0166811829276,,,,,0,16,16,444,trial,,,,,,red,0.9840166811829276,0.9833333333333333,-0.233,-0.23333333333333334,0.7176866811829276,0.7166666666666667,trial_list_0.5_green.csv,2.308587300009094,0.9961258000112139,3e-05,3e-05,0.03351,0.7166116000153124,0.7503225000109524,0.9833146000164561,1.0163905000081286,2.0001934000174515,2.033346200012602,2.308587300009094,2.3167051000054926,0.00811779999639839,2.308587300009094,2.5085701000061817,4.616753900016192,2.308166600007098,2.3000488000107,0.46438,0.14689914130675968,0.016505521495141538,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
33,0.5,none,red,green,776.7355247420822,,,,,0,17,17,486,trial,,,,,,red,0.7767355247420823,0.775,0.033,0.03333333333333333,0.8430655247420823,0.8416666666666667,trial_list_0.5_green.csv,2.30844569997862,0.996242200024426,3e-05,3e-05,,0.8418652000254951,0.8752991000073962,0.7748084000195377,0.8084888000157662,2.0002394000184722,,2.30844569997862,2.3918533999822102,0.08340770000359043,2.30844569997862,2.5083822999731638,3.6083950999891385,1.2999494000105187,1.2165417000069283,0.78459,0.09257483061060855,-0.11524621769892082,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
167,0.5,none,red,green,1357.195851898509,,,,,0,18,18,298,trial,,,,,,red,1.357195851898509,1.3583333333333334,0.167,0.16666666666666666,1.5575258518985091,1.5583333333333333,trial_list_0.5_green.csv,2.3082381000276655,0.9972574000130408,3e-05,3e-05,,1.5587795000174083,1.592260300007183,1.358664300001692,1.3922657000366598,2.000419900054112,,2.3082381000276655,2.3082381000276655,0.0,2.3082381000276655,2.5084262000164017,3.624917800014373,1.3166796999867074,1.3166796999867074,1.72151,-0.1134516859769215,0.09476552593366384,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
-100,0.5,none,red,green,588.1555148362081,,,,,0,19,19,120,trial,,,,,,red,0.5881555148362081,0.5916666666666667,-0.1,-0.1,0.45482551483620814,0.4583333333333333,trial_list_0.5_green.csv,2.3083922999794595,0.9976333000231534,4e-05,4e-05,0.03344,0.45832750003319234,0.49177429999690503,0.5916475999983959,0.6252231000107713,1.9997899000300094,2.033211200032383,2.3083922999794595,2.3083922999794595,0.0,2.3083922999794595,2.5082746000261977,3.391349399986211,1.0829571000067517,1.0829571000067517,0.35242,0.13221736635250278,0.06610868317625139,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
233,0.5,none,red,green,400.8757338674368,,,,,0,20,20,388,trial,,,,,,red,0.4008757338674368,0.4,0.233,0.23333333333333334,0.6672057338674369,0.6666666666666666,trial_list_0.5_green.csv,2.30807879997883,0.9974452999886125,4e-05,4e-05,0.03329,0.6667398000136018,0.6999609000049531,0.3999360000016168,0.4336728999624029,1.9994623999809846,2.032849100010935,2.30807879997883,2.30807879997883,0.0,2.30807879997883,2.508159499964677,3.2915763999917544,0.9834976000129245,0.9834976000129245,1.14911,-0.0667435722435599,-0.13189801181465408,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
233,0.5,none,green,red,280.5498985979556,,,,,0,21,21,213,trial,,,,,,green,0.2805498985979556,0.2833333333333333,0.233,0.23333333333333334,0.5468798985979556,0.55,trial_list_0.5_green.csv,2.307989599998109,0.9976182999671437,4e-05,4e-05,0.0332,0.5498060999670997,0.5834647999727167,0.2832446999964304,0.3163193999789655,1.9997033999534324,2.0330249999533407,2.307989599998109,2.316199399996549,0.008209799998439848,2.307989599998109,2.5076787999714725,3.541131999983918,1.2331423999858089,1.224932599987369,0.34611,0.13088262528824782,0.0687133782763301,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
-33,0.5,none,green,red,372.74245772426207,,,,,0,22,22,387,trial,,,,,,green,0.37274245772426207,0.375,-0.033,-0.03333333333333333,0.30641245772426207,0.30833333333333335,trial_list_0.5_green.csv,2.308444000023883,0.9974617000552826,3e-05,3e-05,,0.3083547999849543,0.3416717000072822,0.37501860002521425,0.40830349997850135,2.0001364999916404,,2.308444000023883,2.366804499994032,0.05836049997014925,2.308444000023883,2.5084231999935582,3.341586800001096,1.0331427999772131,0.9747823000070639,0.3642,0.13457356761610573,0.06116980346186625,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
33,0.5,none,green,red,150.63364328900366,,,,,0,23,23,389,trial,,,,,,green,0.15063364328900367,0.15,0.033,0.03333333333333333,0.21696364328900364,0.21666666666666667,trial_list_0.5_green.csv,2.308348399994429,0.9983513999613933,3e-05,3e-05,,0.2163873999961652,0.2496749999700114,0.14977199997520074,0.18299149995436892,2.000017999962438,,2.308348399994429,2.308348399994429,0.0,2.308348399994429,2.508033999998588,3.807692499947734,1.499344099953305,1.499344099953305,0.07143,0.03289620819009427,0.14411672159469874,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
