id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,audCueStart.stopped,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,-500,0.5,none,46,red,green,no_Expectation,,,,,,0,6,6,4,train_doubleStim,,,,,,red,1.2900305125175495,1.2916666666666667,2.308613300003344,0.997894100000849,2e-05,2e-05,1.2919605000060983,1.3251780999999028,2.0005658000009134,2.0337169999984326,2.308613300003344,2.308613300003344,2.508232499996666,2.6415829000034137,0.3329696000000695,3.391792499998701,1.0831791999953566,0.7502095999952871,1.50442,-0.1478092538787658,0.0020529063038717474,,,,None,,0.03337,-0.5,-0.5,0.7567005125175496,0.7583333333333333,training_double_stim.csv,0.758122999992338,0.7915442999947118,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
1,500,0.5,none,60,red,green,no_Expectation,,,,,,0,7,7,8,train_doubleStim,,,,,,red,0.8699880937004932,0.875,2.3084709999966435,0.9975850000046194,1e-05,1e-05,0.87536029999319,0.9086076999956276,2.0003720999957295,2.0337914999981876,2.3084709999966435,2.3084709999966435,2.508668700000271,2.558564799997839,0.25009380000119563,4.441927299994859,2.1334562999982154,1.8833624999970198,1.00325,-0.0015083246341995665,-0.1478158141515575,,,,None,,0.03333,0.5,0.5,1.4033180937004932,1.4083333333333332,training_double_stim.csv,1.408859000002849,1.441836300000432,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
1,-500,0.5,none,59,green,red,no_Expectation,,,,,,0,8,8,0,train_doubleStim,,,,,,green,1.7720392776300185,1.775,2.3082185000093887,0.9976364000031026,2e-05,2e-05,1.7751526000065496,1.808340000003227,2.0000268000003416,,2.3082185000093887,2.3082185000093887,2.508313600003021,2.6499928000121145,0.3417743000027258,4.074839300010353,1.7666208000009647,1.4248464999982389,1.5,-0.14782350948509485,0.0,,,,None,,,-0.5,-0.5,1.2387092776300186,1.2416666666666667,training_double_stim.csv,1.2420127000077628,1.2750783000083175,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
1,500,0.5,none,88,red,green,no_Expectation,,,,,,0,9,9,9,train_doubleStim,,,,,,red,1.042322022315304,1.0416666666666667,2.308264199993573,0.9967273999936879,2e-05,2e-05,1.041559099990991,1.0750038999976823,2.0000784000003478,2.0334098000021186,2.308264199993573,2.308264199993573,2.5087198999972316,2.566538400002173,0.2582742000086,3.750226999996812,1.441962800003239,1.183688599994639,1.02341,-0.010862809444866768,-0.147423842466049,,,,None,,0.03307,0.5,0.5,1.5756520223153039,1.5833333333333333,training_double_stim.csv,1.5830962999898475,1.616452099988237,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,,,,,,,,,0,0,0,0,0,-1,-1,0,fam,0.5400577000109479,0.5400577000109479,269.99999999999955,2.548631600002409,2.548631600002409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,,,,,,,,,1,0,1,0,0,-1,-1,0,fam,0.49838020000606775,0.49838020000606775,269.99999999999955,2.506987000000663,2.506987000000663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,,,,,,,,,2,0,2,0,0,-1,-1,0,fam,0.4983501999959117,0.4983501999959117,269.99999999999955,2.5072578999970574,2.5072578999970574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,,,,,,,,,3,0,3,0,0,-1,-1,0,fam,0.4990972000086913,0.4990972000086913,269.99999999999955,2.506727800006047,2.506727800006047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,-33,0.5,none,,red,green,,1217.6178991325385,,,,,0,0,0,232,trial,,,,,,red,1.2176178991325384,1.225,2.3078872000041883,0.9910659000015585,1e-05,1e-05,1.224460099998396,1.2578006999974605,1.9997968999959994,,2.3078872000041883,2.3078872000041883,2.5081919000076596,2.5828796999994665,0.2749924999952782,3.899628200000734,1.5917409999965457,1.3167485000012675,0.9951,0.0022739387489763337,-0.14780601868346172,,,,None,,0.03315,-0.033,-0.03333333333333333,1.1512878991325386,1.1583333333333332,trial_list_0.5_green.csv,1.1580610000091838,1.1912929999962216,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,167,0.5,none,,green,red,,616.2976003768565,,,,,0,1,1,279,trial,,,,,,green,0.6162976003768565,0.6166666666666667,2.3079088999948,0.9986993999918923,1e-05,1e-05,0.6163204999902518,0.6499870999978157,1.999393299993244,,2.3079088999948,2.3079088999948,2.507925300000352,2.366419899990433,0.05851099999563303,3.7578432000009343,1.4499343000061344,1.3914233000105014,1.0,0.0,-0.14782350948509485,,,,None,,,0.167,0.16666666666666666,0.8166276003768566,0.8166666666666667,trial_list_0.5_green.csv,0.8164390999882016,0.8498521000001347,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
