id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,audCueEnd.started,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,audCueEnd.stopped,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,7,0,7,0,test,,,,,,green,1.4603847558732568,1.4545454545454546,2.3079595000017434,0.9984948000055738,4.0399987483397126e-05,4e-05,0.033059799985494465,1.46631950000301,1.4995206999883521,1.9999145999900065,2.3079595000017434,2.3079595000017434,2.607981799985282,2.3079595000017434,0.0,5.9915559999935795,3.683596499991836,3.683596499991836,1.27691,-0.11298024936170592,-0.09532708539893936,5.9915559999935795,-0.1466801644972704,-0.018349912793896896,space,3.382010499975877,2.0331348000036087,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,8,0,8,0,test,,,,,,green,1.2318202861656762,1.2231404958677685,2.3078967000183184,0.9965331999992486,3.200001083314419e-05,3e-05,0.03322900002240203,1.2338368000055198,1.2669957000180148,1.9996034000068903,2.3078967000183184,2.3078967000183184,2.608402700017905,2.9750938000215683,0.6671971000032499,5.175108499999624,2.8672117999813054,2.2000146999780554,0.93132,0.03164841046882887,-0.14439587276403174,5.175108499999624,-0.09838994016699795,-0.1103232053125021,space,2.565976599988062,2.0331800999992993,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,9,0,9,0,test,,,,,,red,1.4809834249414227,1.4710743801652892,2.3081800999934785,0.9964508999837562,3.2100011594593525e-05,3e-05,,1.4830634999962058,1.5165641999919899,2.000198099995032,2.3081800999934785,2.3081800999934785,2.608080800011521,2.3081800999934785,0.0,7.5164871999877505,5.208307099994272,5.208307099994272,1.5696,-0.1443033971503294,0.032067421588962086,7.5164871999877505,-0.14755978607262948,-0.008826068812882436,space,4.903031499998178,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,10,0,10,0,test,,,,,,red,1.6954056257975523,1.6859504132231407,2.3081662000040524,0.9969451999932062,4.060001811012626e-05,4e-05,0.03355059999739751,1.6998624000116251,1.733210100006545,2.000042100000428,2.3081662000040524,2.3081662000040524,2.6076802000170574,2.3081662000040524,0.0,7.324567600007867,5.016401400003815,5.016401400003815,1.69705,-0.12039053446100123,0.08577825580346339,7.324567600007867,-0.12083334880862881,0.08515334269529393,space,4.715145399997709,2.033364500006428,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,11,0,11,0,test,,,,,,red,0.2856109481143128,0.2809917355371901,2.3084699000173714,0.9976038000022527,4.080001963302493e-05,4e-05,0.03370390000054613,0.2834514999995008,0.3166405000083614,2.0000819000124466,2.3084699000173714,2.3084699000173714,2.608421000011731,2.50028010000824,0.19181019999086857,5.233128300023964,2.9246584000065923,2.7328482000157237,0.27486,0.11236380475661112,0.09605292987258693,5.233128300023964,0.11554314612988086,0.0922039659607922,space,2.620972700009588,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,12,0,12,0,test,,,,,,red,0.32445775585877745,0.3223140495867769,2.3080778000003193,0.997169499984011,4.020001506432891e-05,4e-05,0.03305019999970682,0.32481220000772737,0.3581091999949422,2.0000686999992467,2.3080778000003193,2.3080778000003193,2.6079929000115953,2.3080778000003193,0.0,5.549724200012861,3.2416464000125416,3.2416464000125416,0.39126,0.13928148220547426,0.04952230478416862,5.549724200012861,0.12590850361362066,0.077452170236016,space,2.940154599986272,2.0330429000023287,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,13,0,13,0,test,,,,,,red,0.5869464330224449,0.5867768595041323,2.3083164000127,0.9977283999905922,3.220001235604286e-05,3e-05,0.03335129999322817,0.5918853000039235,0.6250359000114258,1.9999631000100635,2.3083164000127,2.3083164000127,2.6083834000164643,2.3083164000127,0.0,5.075754199991934,2.767437799979234,2.767437799979234,0.24518,0.10293144923428428,0.10609857074918534,5.075754199991934,0.1423430767433705,-0.03987779406788776,space,2.4622055999934673,2.033336299995426,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,14,0,14,0,test,,,,,,green,0.32490759169362754,0.3223140495867769,2.308202700020047,0.9972441999998409,4.1399995097890496e-05,4e-05,,0.32431630001519807,0.35761430001002736,1.9998508999997284,2.308202700020047,2.308202700020047,2.6082090999989305,2.6416730000055395,0.3334702999854926,5.249656700005289,2.9414539999852423,2.6079836999997497,0.30532,0.12102784913364442,0.08487667341839998,5.249656700005289,0.12601783332982064,0.07727415893652592,space,2.634900999983074,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,15,0,15,0,test,,,,,,green,0.6690484483273125,0.6694214876033058,2.3081655999994837,0.9970565999974497,4.049998824484646e-05,4e-05,,0.6752505999756977,0.7083569999958854,2.000131799984956,2.3081655999994837,2.3081655999994837,2.6082859999733046,2.316563199972734,0.00839759997325018,4.566577299992787,2.258411699993303,2.250014100020053,0.58295,0.14283223975897488,-0.038088597269059964,4.566577299992787,0.12746228464309955,-0.07486758944998426,space,1.952857900003437,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,16,0,16,0,test,,,,,,red,1.6513251548599162,1.6446280991735538,2.308599400013918,0.9972926999907941,4.029998672194779e-05,4e-05,0.03344609998748638,1.6583769000135362,1.6917921999993268,1.9999960999994073,2.308599400013918,2.308599400013918,2.6084238000039477,2.308599400013918,0.0,7.200023100012913,4.891423699998995,4.891423699998995,1.60125,-0.14040798293832166,0.046231896821154694,7.200023100012913,-0.13143118343912016,0.06765821440359084,space,4.585951499990188,2.033625000010943,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
