id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,fixationPoint.stopped,audCueStart.started,distractor.started,distractor.stopped,target.started,target.stopped,sapce2pass_2.started,audCueEnd.started,audCueEnd.stopped,responsePointer.started,responsePointer.stopped,perceivedTime,pTemporalError,sapce2pass_2.keys,x_coord,y_coord,participant,session,date,expName,psychopyVersion,frameRate,
1,-233,0.15,unmet,57,red,green,high_Expectation,,,,,0,34,34,56,0.0010843999916687608,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-167,0.85,met,279,green,red,high_Expectation,,,,,0,35,35,278,0.0010792999528348446,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,167,0.85,met,59,green,red,high_Expectation,,,,,0,36,36,58,0.0011174999526701868,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,167,0.85,met,288,green,red,high_Expectation,,,,,0,37,37,287,0.0010870000114664435,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,100,0.85,met,22,green,red,high_Expectation,,,,,0,38,38,21,0.0010843999916687608,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-233,0.85,met,260,green,red,high_Expectation,,,,,0,39,39,259,0.0011280000326223671,,,,,,,,,,,,,,None,0.19305555555555556,0.006944444444444444,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,33,0.85,met,131,green,red,high_Expectation,,,,,0,40,40,130,0.0011166000040248036,,,,,,,,,,,,,,None,0.19305555555555556,0.006944444444444444,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-233,0.85,met,119,green,red,high_Expectation,,,,,0,41,41,118,0.0012153999996371567,,,,,,,,,,,,,,None,0.19305555555555556,0.006944444444444444,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-233,0.15,unmet,257,red,green,high_Expectation,,,,,0,42,42,256,0.0010733000235632062,,,,,,,,,,,,,,None,0.19305555555555556,0.006944444444444444,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,167,0.85,met,163,green,red,high_Expectation,,,,,0,43,43,162,0.0011119999689981341,,,,,,,,,,,,,,None,0.19305555555555556,0.006944444444444444,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,100,0.85,met,110,green,red,high_Expectation,,,,,0,44,44,109,0.0011389999999664724,,,,,,,,,,,,,,None,0.19305555555555556,0.006944444444444444,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
