id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,cueForRep.started,responseStarted,rtUntillMotionTreshold,space2pass.started,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,-500,0.5,none,68,red,green,no_Expectation,,,,,,0,8,8,3,train_doubleStim,,,,,,red,1.1046910990455043,1.1083333333333334,2.2994932000292465,0.9974783000070602,1e-05,1e-05,0.03327,1.1080611000070348,1.1413809999939986,2.000043599982746,2.032813699974213,2.2994932000292465,2.2994932000292465,2.2994932000292465,0.0,2.4994945999933407,3.9079000999918208,1.6084068999625742,1.6084068999625742,0.31107,0.1225404329466769,0.08267788247004704,,,,None,,-0.5,-0.5,0.5713610990455044,0.575,training_double_stim.csv,0.5745587000274099,0.6084705999819562,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
1,-500,0.5,none,46,red,green,no_Expectation,,,,,,0,9,9,4,train_doubleStim,,,,,,red,0.6975643819442547,0.7,2.3002423000289127,0.9982638999936171,1e-05,1e-05,0.03339,0.7004182999953628,0.7335768000339158,2.000347100023646,2.03374270000495,2.3002423000289127,2.3002423000289127,2.3002423000289127,0.0,2.499973400030285,4.841944299987517,2.5417019999586046,2.5417019999586046,0.15498,0.06916480487732228,0.1306446314349421,,,,None,,-0.5,-0.5,0.16423438194425471,0.16666666666666666,training_double_stim.csv,0.1673024999909103,0.20030979998409748,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,,,,,,,,,0,0,0,0,0,-1,-1,0,fam,0.5407947999774478,0.5407947999774478,270.0,2.5404940000153147,2.5404940000153147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,,,,,,,,,1,0,1,0,0,-1,-1,0,fam,0.49835650000022724,0.49835650000022724,270.0,2.498466599965468,2.498466599965468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,,,,,,,,,2,0,2,0,0,-1,-1,0,fam,0.498347700049635,0.498347700049635,270.0,2.4984221000340767,2.4984221000340767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,,,,,,,,,3,0,3,0,0,-1,-1,0,fam,0.4982247999869287,0.4982247999869287,270.0,2.498382199963089,2.498382199963089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,167,0.1999999999999999,unmet,,green,red,,546.0990354247676,,,,,0,0,0,334,trial,,,,,,green,0.5460990354247677,0.55,2.2998337000026368,0.9992160000256263,0.00012,0.00012,0.03324,0.5493523000041023,0.5825965999974869,1.9991784000303596,2.032768399978522,2.2998337000026368,2.2998337000026368,2.2998337000026368,0.0,2.499463599990122,4.182540800014976,1.8827071000123397,1.8827071000123397,0.45214,0.14615539571683012,0.022144756926792443,,,,None,,0.167,0.16666666666666666,0.7464290354247677,0.75,trial_list_0.8_red.csv,0.7495428000111133,0.7827676999731921,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,233,0.8,met,,red,green,,172.46663866212157,,,,,0,1,1,288,trial,,,,,,red,0.17246663866212156,0.175,2.3003235000069253,0.9970979999634437,2e-05,2e-05,0.03309,0.17473069997504354,0.20830240001669154,2.0001539000077173,2.0331752999918535,2.3003235000069253,2.3003235000069253,2.3003235000069253,0.0,2.4998594999779016,3.708255800011102,1.4079323000041768,1.4079323000041768,0.11302,0.05139194483215483,0.13860251788066,,,,None,,0.233,0.23333333333333334,0.43879663866212154,0.44166666666666665,trial_list_0.8_red.csv,0.4416025999817066,0.4749465999775566,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,300,0.8,met,,red,green,,894.626225804547,,,,,0,2,2,490,trial,,,,,,red,0.894626225804547,0.8916666666666666,2.2993301000096835,0.9987461999990046,0.0001,0.0001,0.03319,0.8909057999844663,0.9244708999758586,1.9994221999659203,2.0329050999716856,2.2993301000096835,2.2993301000096835,2.2993301000096835,0.0,2.499331299972255,4.191125100012869,1.8917950000031851,1.8917950000031851,0.98915,0.00503651198106712,-0.14773768477796886,,,,None,,0.3,0.3,1.2279562258045469,1.225,trial_list_0.8_red.csv,1.2242750999866985,1.2577878999873064,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,-233,0.8,met,,red,green,,712.0657306789109,,,,,0,3,3,208,trial,,,,,,red,0.7120657306789109,0.7083333333333334,2.3002114000264555,0.9971847000415437,1e-05,1e-05,0.03396,0.7086972999968566,0.7416450000018813,2.0000837999978103,2.0333391000167467,2.3002114000264555,2.3002114000264555,2.3002114000264555,0.0,2.5000391000066884,3.4669835999957286,1.166772199969273,1.166772199969273,0.25589,0.10644444104577666,0.10257373409865753,,,,None,,-0.233,-0.23333333333333334,0.4457357306789109,0.44166666666666665,trial_list_0.8_red.csv,0.44188060000305995,0.4751523000304587,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
