delay,expectation,congruency,stim_color,distractor_color,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,distractor.started,distractor.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,space2pass.keys,participant,session,date,expName,psychopyVersion,frameRate,
167,0.1999999999999999,unmet,red,green,1049.7943178316857,,,,,0,13,13,499,trial,,,,,,red,1.0497943178316858,1.05,0.167,0.16666666666666666,1.2501243178316856,1.25,trial_list_0.8_green.csv,2.2994789000076707,0.9973484000074677,5e-05,5e-05,0.03325,1.04979540000204,1.0831494000158273,1.2496415000059642,1.2830114999960642,1.9994917000003625,,2.2994789000076707,2.2994789000076707,2.4991993000148796,2.4408626000222284,0.1413837000145577,2.882890100008808,0.5834112000011373,0.44202749998657964,1.13935,-0.06266831428759188,-0.13388230779621904,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
233,0.1999999999999999,unmet,red,green,1270.8967072938935,,,,,0,14,14,39,trial,,,,,,red,1.2708967072938935,1.275,0.233,0.23333333333333334,1.5372267072938934,1.5333333333333332,trial_list_0.8_green.csv,2.299615200026892,0.9976585000113118,4e-05,4e-05,0.03324,1.274658400012413,1.3080081000225618,1.5326978000230156,1.566161499998998,1.999775000003865,2.033084200025769,2.299615200026892,2.299615200026892,2.49960640000063,2.5579968000238296,0.25838159999693744,3.02448390002246,0.724868699995568,0.4664870999986306,1.05653,-0.026115101762070846,-0.14549842410296615,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
300,0.8,met,green,red,407.7624115092307,,,,,0,15,15,48,trial,,,,,,green,0.40776241150923065,0.4083333333333333,0.3,0.3,0.7410924115092307,0.7416666666666667,trial_list_0.8_green.csv,2.2998912999755703,0.9971844000101555,4e-05,4e-05,,0.4081370999920182,0.4414985999756027,0.741563599993242,0.7747249999956694,1.999917999986792,,2.2998912999755703,2.2998912999755703,2.5000313999771606,2.9248040999809746,0.6249128000054043,3.466682199999923,1.1667909000243526,0.5418781000189483,0.55257,0.1458122115556408,-0.02430203525927347,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
-233,0.8,met,green,red,627.3669395753745,,,,,0,16,16,93,trial,,,,,,green,0.6273669395753746,0.625,-0.233,-0.23333333333333334,0.3610369395753746,0.35833333333333334,trial_list_0.8_green.csv,2.3004713999980595,0.9961463999934494,2e-05,2e-05,0.03317,0.6255496999947354,0.6587187999975868,0.35856179997790605,0.3918771999888122,2.0004808999947272,2.0337473999825306,2.3004713999980595,2.3004713999980595,2.500516999978572,2.9590216999931727,0.6585502999951132,3.858556999999564,1.5580856000015046,0.8995353000063915,0.68506,0.12353691690536701,-0.08118140253781261,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
-233,0.8,met,green,red,591.5751678233376,,,,,0,17,17,313,trial,,,,,,green,0.5915751678233375,0.5916666666666667,-0.233,-0.23333333333333334,0.32524516782333757,0.325,trial_list_0.8_green.csv,2.300111399992602,0.9975127999787219,3e-05,3e-05,0.03327,0.5915793000021949,0.6249496999953408,0.3243951000040397,0.35778739998931997,1.9999577999988105,2.033132700016722,2.300111399992602,2.300111399992602,2.49997840001015,2.308406299998751,0.008294900006148964,3.758234500011895,1.458123100019293,1.449828200013144,0.75,0.10452700597570448,-0.10452700597570448,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
-33,0.8,met,green,red,1507.0861748339228,,,,,0,18,18,366,trial,,,,,,green,1.5070861748339228,1.5083333333333333,-0.033,-0.03333333333333333,1.4407561748339228,1.4416666666666667,trial_list_0.8_green.csv,2.299741199996788,0.9975702000083402,4e-05,4e-05,0.03329,1.5083357999974396,1.5415117999946233,1.441777900006855,1.4749382000009064,1.999566300015431,2.033087899995735,2.299741199996788,2.299741199996788,2.499771700007841,3.0332030999998096,0.7334619000030216,3.5579910000087693,1.2582498000119813,0.5247879000089597,1.46626,-0.14699405893920564,-0.015637665844596346,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
-100,0.8,met,green,red,1382.31738158003,,,,,0,19,19,438,trial,,,,,,green,1.38231738158003,1.3833333333333333,-0.1,-0.1,1.24898738158003,1.25,trial_list_0.8_green.csv,2.2998780999914743,0.9970811000093818,4e-05,4e-05,,1.3831266000051983,1.4165560000110418,1.2498701000004075,1.283267499995418,2.0001514999894425,2.0334636000043247,2.2998780999914743,2.2998780999914743,2.49978069998906,3.0749558999959845,0.7750778000045102,3.841447999991942,1.541569900000468,0.7664920999959577,1.44743,-0.1458122115556408,-0.02430203525927347,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
100,0.8,met,green,red,1402.6899112097096,,,,,0,20,20,487,trial,,,,,,green,1.4026899112097095,1.4,0.1,0.1,1.5360199112097095,1.5333333333333332,trial_list_0.8_green.csv,2.299765400006436,0.9969886000035331,5e-05,5e-05,0.03299,1.3997216999996454,1.4332850000064354,1.5331872000242583,1.5663989000022411,1.999927299999399,2.033151900017401,2.299765400006436,2.299765400006436,2.499927900003968,3.3831758000014815,1.0834103999950457,4.46648540001479,2.166720000008354,1.0833096000133082,1.3661,-0.1349359975171565,-0.0603661041524121,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
33,0.8,met,green,red,575.9343708825452,,,,,0,21,21,160,trial,,,,,,green,0.5759343708825452,0.575,0.033,0.03333333333333333,0.6422643708825452,0.6416666666666666,trial_list_0.8_green.csv,2.3002927000052296,0.9972767999861389,3e-05,3e-05,,0.5746738000016194,0.6079037000017706,0.6413033999851905,0.6746582000050694,2.000229600002058,,2.3002927000052296,2.3002927000052296,2.50021860000561,2.3002927000052296,0.0,3.0920020999910776,0.791709399985848,0.791709399985848,0.77192,0.0970876346591916,-0.11147098794203478,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
-33,0.8,met,green,red,1780.1951503036005,,,,,0,22,22,250,trial,,,,,,green,1.7801951503036004,1.7833333333333332,-0.033,-0.03333333333333333,1.7138651503036006,1.7166666666666666,trial_list_0.8_green.csv,2.3003215999924578,0.9969998000015039,3e-05,3e-05,,1.7830776999762747,1.816696999972919,1.7163589999836404,1.749744099972304,2.0000782999850344,,2.3003215999924578,2.3003215999924578,2.5001498999772593,2.608398699987447,0.3080770999949891,3.2667414999741595,0.9664198999817017,0.6583427999867126,1.7277,-0.11158780968024307,0.09695334283693251,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
