id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,responseStarted,rtUntillMotionTreshold,cueForRep.started,space2pass.started,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,-167,0.5,none,,green,red,,1227.150239319034,,,,,0,0,0,149,trial,,,,,,green,1.2271502393190339,1.2333333333333334,2.3083231999999043,0.9909139000001232,2e-05,2e-05,0.03331,1.233172100000047,1.2666227999998227,2.0002128999994966,2.0337399999998524,2.3083231999999043,2.325138999999581,0.01681579999967653,2.3083231999999043,2.5081986999994115,3.641891100000066,1.333567900000162,1.3167521000004854,1.19208,-0.08388583721571827,-0.12171670497966965,,,,None,,-0.167,-0.16666666666666666,1.026820239319034,1.0333333333333332,trial_list_0.5_green.csv,1.0333465999992768,1.0664908999997351,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,-167,0.5,none,,red,green,,985.218618405654,,,,,0,1,1,440,trial,,,,,,red,0.985218618405654,0.9916666666666667,2.308416500000021,0.9963064000003214,1e-05,1e-05,0.03351,0.9918146999998498,1.0248603999998522,1.9998826999999437,2.033573599999727,2.308416500000021,2.6168799999995827,0.30846349999956146,2.308416500000021,2.50817300000017,4.0916344999996,1.7832179999995788,1.4747545000000173,1.13348,-0.060187706356197024,-0.13501566560984737,,,,None,,-0.167,-0.16666666666666666,0.7848886184056539,0.7916666666666666,trial_list_0.5_green.csv,0.791704899999786,0.8251027999995131,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,233,0.5,none,,red,green,,435.65146702171216,,,,,0,2,2,328,trial,,,,,,red,0.43565146702171215,0.44166666666666665,2.308513799999673,0.9977009000003818,4e-05,4e-05,0.03325,0.44182009999985894,0.4751816999996663,2.0003465999998298,2.0334894999996322,2.308513799999673,2.3584295999999085,0.04991580000023532,2.308513799999673,2.5084630999999717,3.1003006999999343,0.7917869000002611,0.7418711000000258,0.64758,0.13221736635250278,-0.06610868317625139,,,,None,,0.233,0.23333333333333334,0.7019814670217122,0.7083333333333334,trial_list_0.5_green.csv,0.7084818999992422,0.7417035999997097,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,-100,0.5,none,,red,green,,588.1555148362081,,,,,0,3,3,120,trial,,,,,,red,0.5881555148362081,0.5916666666666667,2.3083333999993556,0.9971821999997701,1e-05,1e-05,0.03362,0.5923336999994717,0.6257977999994182,2.000316799999382,2.033452799999395,2.3083333999993556,2.5668215999994572,0.25848820000010164,2.3083333999993556,2.508503699999892,3.6503960000000006,1.342062600000645,1.0835744000005434,0.38898,0.13892356205107273,0.050517658927662815,,,,None,,-0.1,-0.1,0.45482551483620814,0.4583333333333333,trial_list_0.5_green.csv,0.4583001000000877,0.49171079999996437,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,300,0.5,none,,green,red,,1103.0804407197245,,,,,0,4,4,477,trial,,,,,,green,1.1030804407197246,1.1083333333333334,2.308462299999519,0.99776859999929,1e-05,1e-05,0.03307,1.1081642999997712,1.1413996000001134,1.99964749999981,2.03314969999974,2.308462299999519,2.308462299999519,0.0,2.308462299999519,2.5083482999998523,3.066282599999795,0.7578203000002759,0.7578203000002759,1.1766,-0.07786850265580449,-0.12565144746732088,,,,None,,0.3,0.3,1.4364104407197245,1.4416666666666667,trial_list_0.5_green.csv,1.4413549999999304,1.475004899999476,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,100,0.5,none,,red,green,,1743.151961477921,,,,,0,5,5,148,trial,,,,,,red,1.7431519614779212,1.75,2.3081443999999465,0.9974560999999085,1e-05,1e-05,0.03318,1.7496629999996003,1.7829644999992524,2.0000821999992695,2.033361399999194,2.3081443999999465,2.766436299999441,0.4582918999994945,2.3081443999999465,2.508275899999717,3.5832263999991483,1.2750819999992018,0.8167900999997073,1.69565,-0.12076705668433614,0.08524733413011963,,,,None,,0.1,0.1,1.876481961477921,1.8916666666666666,trial_list_0.5_green.csv,1.8921227999999246,1.925069199999598,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,-233,0.5,none,,red,green,,1826.2479960249484,,,,,0,6,6,214,trial,,,,,,red,1.8262479960249485,1.8416666666666666,2.3083292000001165,0.9977871999999479,1e-05,1e-05,0.03327,1.8413310000005367,1.8745312999999442,1.9996415000005072,2.0328208999999333,2.3083292000001165,2.8495437000001402,0.5412145000000237,2.3083292000001165,2.5079514999997627,3.4663713999998436,1.158042199999727,0.6168276999997033,1.86058,-0.06269788693678864,0.13386846129746763,,,,None,,-0.233,-0.23333333333333334,1.5599179960249485,1.5666666666666667,trial_list_0.5_green.csv,1.5661276000000726,1.5996381000004476,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,167,0.5,none,,green,red,,1150.6717406571163,,,,,0,7,7,57,trial,,,,,,green,1.1506717406571163,1.1583333333333332,2.3080737000000227,0.9976695999994263,1e-05,1e-05,0.03319,1.158571199999642,1.1917028999996546,2.000126399999317,2.033201399999598,2.3080737000000227,2.6663336999999956,0.35825999999997293,2.3080737000000227,2.508168399999704,3.1246409999994285,0.8165672999994058,0.45830729999943287,1.46217,-0.1467808796982755,-0.01752607518785379,,,,None,,0.167,0.16666666666666666,1.3510017406571162,1.3583333333333334,trial_list_0.5_green.csv,1.358414599999378,1.3917897999999695,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,-233,0.5,none,,green,red,,449.3964330027617,,,,,0,8,8,483,trial,,,,,,green,0.44939643300276166,0.45,2.308488099999522,0.9974696999997832,2e-05,2e-05,,0.4500213999999687,0.4831533999995372,1.9999659999994037,,2.308488099999522,2.308488099999522,0.0,2.308488099999522,2.508396499999435,2.8835425999996005,0.5750545000000784,0.5750545000000784,0.28002,0.11390620651554917,0.09421871403138016,,,,None,,-0.233,-0.23333333333333334,0.1830664330027617,0.18333333333333332,trial_list_0.5_green.csv,0.1833915999995952,0.21670559999984107,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,100,0.5,none,,green,red,,1121.0012458754509,,,,,0,9,9,105,trial,,,,,,green,1.1210012458754508,1.125,2.3084439999993265,0.9974402999996528,2e-05,2e-05,0.03349,1.1251320999999734,1.1585924999999406,2.000199299999622,2.033465800000158,2.3084439999993265,2.3084439999993265,0.0,2.3084439999993265,2.508478599999762,3.0918017999993026,0.7833577999999761,0.7833577999999761,1.75239,-0.10373815640026665,0.10530994664875552,,,,None,,0.1,0.1,1.2543312458754508,1.2583333333333333,trial_list_0.5_green.csv,1.2582573999998203,1.2916537999999491,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
