id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,target.started,target.stopped,audCueEnd.started,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,audCueStart.stopped,audCueEnd.stopped,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,-500,0.5,none,68,red,green,no_Expectation,,,,,,0,8,8,3,train_doubleStim,,,,,,red,1.48892860625243,1.4916666666666667,2.299921500001801,0.9963490000009187,1e-05,1e-05,1.4919141000027594,1.5248443000018597,1.9999571000007563,2.299921500001801,2.299921500001801,2.499858099999983,2.299921500001801,0.0,3.2001318000002357,0.9002102999984345,0.9002102999984345,0.43462,0.144716321362804,0.03014923361725083,,,,None,,0.03331,2.033174500000314,-0.5,-0.5,0.95559860625243,0.9583333333333334,training_double_stim.csv,0.9583089000007021,0.9920882000005804,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
1,-500,0.5,none,59,green,red,no_Expectation,,,,,,0,9,9,0,train_doubleStim,,,,,,green,1.2875777596908016,1.2916666666666667,2.3001650999976846,0.9971598999982234,2e-05,2e-05,1.291726399998879,1.3249432999982673,1.9999877999980527,2.3001650999976846,2.3001650999976846,2.499789999998029,2.691444500000216,0.3912794000025315,3.158164199998282,0.8579991000005975,0.46671969999806606,0.25776,0.10704461031679283,0.10194724792075507,,,,None,,0.03335,2.0335725999975693,-0.5,-0.5,0.7542477596908015,0.7583333333333333,training_double_stim.csv,0.7580690999966464,0.7916818999983661,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,,,,,,,,,0,0,0,0,0,-1,-1,0,fam,0.5404658000006748,0.5404658000006748,270.0,2.5404686000001675,2.5404686000001675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,,,,,,,,,1,0,1,0,0,-1,-1,0,fam,0.4989136999975017,0.4989136999975017,270.0,2.4988453999976628,2.4988453999976628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,,,,,,,,,2,0,2,0,0,-1,-1,0,fam,0.4987380000020494,0.4987380000020494,270.0,2.4983643000014126,2.4983643000014126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,,,,,,,,,3,0,3,0,0,-1,-1,0,fam,0.4986537999975553,0.4986537999975553,270.0,2.4985790999999153,2.4985790999999153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,-300,0.8,met,,red,green,,1049.8637698198258,,,,,0,0,0,41,trial,,,,,,red,1.0498637698198259,1.05,2.2996874999989814,0.9910860999989382,1e-05,1e-05,1.0495590999998967,1.083124199998565,1.9995407999995223,2.2996874999989814,2.2996874999989814,2.4994802000001073,2.2996874999989814,0.0,2.899422099999356,0.5997346000003745,0.5997346000003745,1.82306,-0.07800398272734797,0.12556738682938945,,,,None,,0.03301,2.03290940000079,-0.3,-0.3,0.7165337698198259,0.7166666666666667,trial_list_0.8_red.csv,0.7164541999991343,0.7497756999982812,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,-167,0.8,met,,red,green,,378.6514828014917,,,,,0,1,1,383,trial,,,,,,red,0.3786514828014917,0.375,2.2998264000016206,0.9984972999991442,1e-05,1e-05,0.3749409000010928,0.4080343999994511,2.0000832000005175,2.2998264000016206,2.2998264000016206,2.499922899998637,2.2998264000016206,0.0,2.9330100000006496,0.633183599999029,0.633183599999029,1.57356,-0.14389394201611255,0.033857398121438245,,,,None,,0.03298,,-0.167,-0.16666666666666666,0.1783214828014917,0.175,trial_list_0.8_red.csv,0.17464860000109184,0.20836449999842444,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,-33,0.8,met,,red,green,,1291.9329781517336,,,,,0,2,2,468,trial,,,,,,red,1.2919329781517335,1.2916666666666667,2.3004744999998366,0.9969862999969337,1e-05,1e-05,1.2920363000012003,1.3253528000022925,2.000091500001872,2.3004744999998366,2.3004744999998366,2.5006192000000738,2.3167744999991555,0.01629999999931897,3.3670657000002393,1.0665912000004028,1.0502912000010838,0.01962,0.009107572766960111,0.14754267882475378,,,,None,,,,-0.033,-0.03333333333333333,1.2256029781517337,1.225,trial_list_0.8_red.csv,1.2254558999993606,1.2587638000004517,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,233,0.1999999999999999,unmet,,green,red,,170.3594978926634,,,,,0,3,3,471,trial,,,,,,green,0.1703594978926634,0.16666666666666666,2.299919500001124,0.9972089000002597,1e-05,1e-05,0.16648340000028838,0.20011370000065654,2.0002394000002823,2.299919500001124,2.299919500001124,2.500025100001949,2.4584535000030883,0.15853400000196416,3.0586336000014853,0.7587141000003612,0.600180099998397,1.70781,-0.11742476265766395,0.0897954067382136,,,,None,,,,0.233,0.23333333333333334,0.43668949789266337,0.43333333333333335,trial_list_0.8_red.csv,0.43313380000108737,0.4665028000017628,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,-33,0.8,met,,red,green,,1211.828196576804,,,,,0,4,4,224,trial,,,,,,red,1.211828196576804,1.2083333333333333,2.3001005000005534,0.9982640000016545,1e-05,1e-05,1.2082644000001892,1.2415476999995008,2.000655399999232,2.3001005000005534,2.3001005000005534,2.5001577000002726,2.3001005000005534,0.0,3.066640400000324,0.7665398999997706,0.7665398999997706,0.19743,0.08592066964233423,0.12028893749926792,,,,None,,0.03322,2.0337015000004612,-0.033,-0.03333333333333333,1.145498196576804,1.1416666666666666,trial_list_0.8_red.csv,1.141683899997588,1.175041999998939,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
